	lexeme	lang	mframe	trans	frame	tax_class	field	meaning	usage
71	fat	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
72	fat	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
73	fat	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
222	large	английский	столб	pole	толстые / тонкие стержни	размер		d	-
223	large	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
224	large	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
225	large	английский	палка	stick	толстые / тонкие стержни	размер		d	-
226	large	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
227	large	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
228	large	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
160	narrow	английский	столб	pole	толстые / тонкие стержни	размер		d	-
161	narrow	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
162	narrow	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
163	narrow	английский	палка	stick	толстые / тонкие стержни	размер		d	-
164	narrow	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
165	narrow	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
166	narrow	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
98	slim	английский	столб	pole	толстые / тонкие стержни	размер		d	-
99	slim	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
100	slim	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
101	slim	английский	палка	stick	толстые / тонкие стержни	размер		d	-
102	slim	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
103	slim	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
104	slim	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
253	spacious	английский	столб	pole	толстые / тонкие стержни	размер		d	-
254	spacious	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
255	spacious	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
256	spacious	английский	палка	stick	толстые / тонкие стержни	размер		d	-
257	spacious	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
258	spacious	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
259	spacious	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
5	thick	английский	столб	pole	толстые / тонкие стержни	размер		d	-
6	thick	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
7	thick	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
8	thick	английский	палка	stick	толстые / тонкие стержни	размер		d	-
36	thin	английский	столб	pole	толстые / тонкие стержни	размер		d	-
37	thin	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
38	thin	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
39	thin	английский	палка	stick	толстые / тонкие стержни	размер		d	-
191	wide	английский	столб	pole	толстые / тонкие стержни	размер		d	-
192	wide	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
193	wide	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
194	wide	английский	палка	stick	толстые / тонкие стержни	размер		d	-
195	wide	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
196	wide	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
197	wide	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
79	fat	английский	человек	person	человек	размер		d	+
110	slim	английский	человек	person	человек	размер		d	+
141	broad	английский	человек	person	человек	размер		d	-
234	large	английский	человек	person	человек	размер		d	-
172	narrow	английский	человек	person	человек	размер		d	-
265	spacious	английский	человек	person	человек	размер		d	-
17	thick	английский	человек	person	человек	размер		d	-
48	thin	английский	человек	person	человек	размер		d	-
203	wide	английский	человек	person	человек	размер		d	-
239	large	английский	поле	field	широкая поверхность	размер		d	+
