lexeme	lang	mframe	trans	frame	tax_class	field	meaning	usage
broad	английский	палка	stick	толстые / тонкие стержни	размер		d	-
broad	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
broad	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
broad	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
broad	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
broad	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
broad	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
broad	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
broad	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
broad	английский	человек	person	человек	размер		d	-
broad	английский	тесьма	braid	широкие полосы	размер		d	-
broad	английский	доска	plank	широкие полосы	размер		d	-
broad	английский	дорога	road	широкие полосы	размер		d	-
broad	английский	окно	window	широкие полосы	размер		d	-
broad	английский	поле	field	широкая поверхность	размер		d	-
broad	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
broad	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
broad	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
broad	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
broad	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
broad	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
broad	английский	комната	room	просторное пространство	размер		d	-
broad	английский	кровать	bed	просторное пространство	размер		d	-
narrow	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
narrow	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
narrow	английский	ткань	textile	толстые / тонкие слои	размер		d	-
narrow	английский	книга	book	толстые / тонкие слои	размер		d	-
narrow	английский	стена	wall	толстые / тонкие слои	размер		d	+
narrow	английский	столб	pole	толстые / тонкие стержни	размер		d	-
narrow	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
narrow	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
narrow	английский	палка	stick	толстые / тонкие стержни	размер		d	-
narrow	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
narrow	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
narrow	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
narrow	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
narrow	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
narrow	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
narrow	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
narrow	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
narrow	английский	человек	person	человек	размер		d	-
narrow	английский	тесьма	braid	широкие полосы	размер		d	-
narrow	английский	доска	plank	широкие полосы	размер		d	+
narrow	английский	дорога	road	широкие полосы	размер		d	+
narrow	английский	окно	window	широкие полосы	размер		d	+
narrow	английский	поле	field	широкая поверхность	размер		d	-
narrow	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	+
narrow	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
narrow	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
narrow	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
narrow	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	+
narrow	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	+
narrow	английский	комната	room	просторное пространство	размер		d	+
narrow	английский	кровать	bed	просторное пространство	размер		d	+
wide	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
wide	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
wide	английский	ткань	textile	толстые / тонкие слои	размер		d	-
wide	английский	книга	book	толстые / тонкие слои	размер		d	-
wide	английский	стена	wall	толстые / тонкие слои	размер		d	-
wide	английский	столб	pole	толстые / тонкие стержни	размер		d	-
wide	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
wide	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
wide	английский	палка	stick	толстые / тонкие стержни	размер		d	-
wide	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
wide	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
wide	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
wide	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
wide	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
wide	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
wide	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
wide	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
wide	английский	человек	person	человек	размер		d	-
wide	английский	тесьма	braid	широкие полосы	размер		d	-
wide	английский	доска	plank	широкие полосы	размер		d	-
wide	английский	дорога	road	широкие полосы	размер		d	-
wide	английский	окно	window	широкие полосы	размер		d	-
wide	английский	поле	field	широкая поверхность	размер		d	-
wide	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
wide	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
wide	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
wide	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
wide	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	+
wide	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	+
wide	английский	комната	room	просторное пространство	размер		d	-
wide	английский	кровать	bed	просторное пространство	размер		d	-
large	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
large	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
large	английский	ткань	textile	толстые / тонкие слои	размер		d	-
large	английский	книга	book	толстые / тонкие слои	размер		d	-
large	английский	стена	wall	толстые / тонкие слои	размер		d	+
large	английский	столб	pole	толстые / тонкие стержни	размер		d	-
large	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
large	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
large	английский	палка	stick	толстые / тонкие стержни	размер		d	-
large	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
large	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
large	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
large	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
large	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
large	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
large	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
large	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
large	английский	человек	person	человек	размер		d	-
large	английский	тесьма	braid	широкие полосы	размер		d	-
large	английский	доска	plank	широкие полосы	размер		d	+
large	английский	дорога	road	широкие полосы	размер		d	+
large	английский	окно	window	широкие полосы	размер		d	+
large	английский	поле	field	широкая поверхность	размер		d	+
large	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	+
large	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	+
large	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
large	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
large	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
large	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
large	английский	комната	room	просторное пространство	размер		d	-
large	английский	кровать	bed	просторное пространство	размер		d	-
spacious	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
spacious	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
spacious	английский	ткань	textile	толстые / тонкие слои	размер		d	-
spacious	английский	книга	book	толстые / тонкие слои	размер		d	-
spacious	английский	стена	wall	толстые / тонкие слои	размер		d	-
spacious	английский	столб	pole	толстые / тонкие стержни	размер		d	-
spacious	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
spacious	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
spacious	английский	палка	stick	толстые / тонкие стержни	размер		d	-
spacious	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
spacious	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
spacious	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
spacious	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
spacious	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
spacious	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
spacious	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
spacious	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
spacious	английский	человек	person	человек	размер		d	-
spacious	английский	тесьма	braid	широкие полосы	размер		d	-
spacious	английский	доска	plank	широкие полосы	размер		d	-
spacious	английский	дорога	road	широкие полосы	размер		d	-
spacious	английский	окно	window	широкие полосы	размер		d	-
spacious	английский	поле	field	широкая поверхность	размер		d	-
spacious	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
spacious	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
spacious	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
spacious	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
spacious	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
spacious	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
spacious	английский	комната	room	просторное пространство	размер		d	+
spacious	английский	кровать	bed	просторное пространство	размер		d	+
